#           k/h    P           
    0.22925E+01    0.13269E+01
    0.23388E+01    0.12846E+01
    0.23861E+01    0.12438E+01
    0.24343E+01    0.12045E+01
    0.24835E+01    0.11666E+01
    0.25336E+01    0.11302E+01
    0.25848E+01    0.10950E+01
    0.26370E+01    0.10611E+01
    0.26903E+01    0.10284E+01
    0.27447E+01    0.99690E+00
    0.28001E+01    0.96648E+00
    0.28567E+01    0.93713E+00
    0.29144E+01    0.90881E+00
    0.29733E+01    0.88147E+00
    0.30333E+01    0.85508E+00
    0.30946E+01    0.82959E+00
    0.31571E+01    0.80497E+00
    0.32209E+01    0.78118E+00
    0.32860E+01    0.75820E+00
    0.33523E+01    0.73599E+00
    0.34201E+01    0.71453E+00
    0.34892E+01    0.69377E+00
    0.35596E+01    0.67370E+00
    0.36316E+01    0.65428E+00
    0.37049E+01    0.63549E+00
    0.37798E+01    0.61731E+00
    0.38561E+01    0.59971E+00
    0.39340E+01    0.58267E+00
    0.40135E+01    0.56616E+00
    0.40946E+01    0.55017E+00
    0.41773E+01    0.53468E+00
    0.42617E+01    0.51967E+00
    0.43478E+01    0.50512E+00
    0.44356E+01    0.49101E+00
    0.45252E+01    0.47732E+00
    0.46166E+01    0.46405E+00
    0.47099E+01    0.45117E+00
    0.48050E+01    0.43868E+00
    0.49021E+01    0.42655E+00
    0.50011E+01    0.41478E+00
    0.51021E+01    0.40334E+00
    0.52052E+01    0.39224E+00
    0.53104E+01    0.38146E+00
    0.54176E+01    0.37097E+00
    0.55271E+01    0.36079E+00
    0.56387E+01    0.35089E+00
    0.57526E+01    0.34127E+00
    0.58689E+01    0.33191E+00
    0.59874E+01    0.32280E+00
    0.61084E+01    0.31395E+00
    0.62318E+01    0.30534E+00
    0.63577E+01    0.29696E+00
    0.64861E+01    0.28880E+00
    0.66171E+01    0.28086E+00
    0.67508E+01    0.27313E+00
    0.68872E+01    0.26561E+00
    0.70263E+01    0.25828E+00
    0.71682E+01    0.25114E+00
    0.73130E+01    0.24419E+00
    0.74608E+01    0.23742E+00
    0.76115E+01    0.23082E+00
    0.77653E+01    0.22439E+00
    0.79221E+01    0.21812E+00
    0.80822E+01    0.21202E+00
    0.82454E+01    0.20606E+00
    0.84120E+01    0.20026E+00
    0.85819E+01    0.19460E+00
    0.87553E+01    0.18909E+00
    0.89322E+01    0.18371E+00
    0.91126E+01    0.17846E+00
    0.92967E+01    0.17335E+00
    0.94845E+01    0.16836E+00
    0.96761E+01    0.16350E+00
    0.98716E+01    0.15876E+00
    0.10071E+02    0.15414E+00
    0.10274E+02    0.14963E+00
    0.10482E+02    0.14524E+00
    0.10694E+02    0.14096E+00
    0.10910E+02    0.13678E+00
    0.11130E+02    0.13271E+00
    0.11355E+02    0.12875E+00
    0.11584E+02    0.12488E+00
    0.11818E+02    0.12111E+00
    0.12057E+02    0.11744E+00
    0.12301E+02    0.11387E+00
    0.12549E+02    0.11038E+00
    0.12803E+02    0.10699E+00
    0.13061E+02    0.10368E+00
    0.13325E+02    0.10046E+00
    0.13594E+02    0.97318E-01
    0.13869E+02    0.94261E-01
    0.14149E+02    0.91283E-01
    0.14435E+02    0.88381E-01
    0.14727E+02    0.85555E-01
    0.15024E+02    0.82802E-01
    0.15328E+02    0.80121E-01
    0.15637E+02    0.77510E-01
    0.15953E+02    0.74967E-01
    0.16275E+02    0.72491E-01
    0.16604E+02    0.70080E-01
    0.16940E+02    0.67733E-01
    0.17282E+02    0.65448E-01
    0.17631E+02    0.63224E-01
    0.17987E+02    0.61059E-01
    0.18351E+02    0.58955E-01
    0.18721E+02    0.56909E-01
    0.19099E+02    0.54923E-01
    0.19485E+02    0.52995E-01
    0.19879E+02    0.51126E-01
    0.20280E+02    0.49314E-01
    0.20690E+02    0.47559E-01
    0.21108E+02    0.45860E-01
    0.21535E+02    0.44217E-01
    0.21970E+02    0.42628E-01
    0.22413E+02    0.41092E-01
    0.22866E+02    0.39609E-01
    0.23328E+02    0.38177E-01
    0.23799E+02    0.36795E-01
    0.24280E+02    0.35463E-01
