#           k/h    P           
    0.10966E+00    0.17981E+04
    0.11188E+00    0.17685E+04
    0.11414E+00    0.17404E+04
    0.11644E+00    0.17125E+04
    0.11880E+00    0.16833E+04
    0.12120E+00    0.16519E+04
    0.12365E+00    0.16171E+04
    0.12614E+00    0.15783E+04
    0.12869E+00    0.15352E+04
    0.13129E+00    0.14879E+04
    0.13394E+00    0.14368E+04
    0.13665E+00    0.13827E+04
    0.13941E+00    0.13267E+04
    0.14223E+00    0.12702E+04
    0.14510E+00    0.12146E+04
    0.14803E+00    0.11617E+04
    0.15102E+00    0.11128E+04
    0.15407E+00    0.10689E+04
    0.15718E+00    0.10308E+04
    0.16036E+00    0.99830E+03
    0.16360E+00    0.97098E+03
    0.16690E+00    0.94791E+03
    0.17028E+00    0.92800E+03
    0.17371E+00    0.90998E+03
    0.17722E+00    0.89250E+03
    0.18080E+00    0.87413E+03
    0.18446E+00    0.85359E+03
    0.18818E+00    0.83006E+03
    0.19198E+00    0.80343E+03
    0.19586E+00    0.77434E+03
    0.19982E+00    0.74381E+03
    0.20386E+00    0.71305E+03
    0.20797E+00    0.68329E+03
    0.21218E+00    0.65567E+03
    0.21646E+00    0.63106E+03
    0.22083E+00    0.60990E+03
    0.22530E+00    0.59201E+03
    0.22985E+00    0.57676E+03
    0.23449E+00    0.56313E+03
    0.23923E+00    0.55002E+03
    0.24406E+00    0.53635E+03
    0.24899E+00    0.52139E+03
    0.25402E+00    0.50492E+03
    0.25915E+00    0.48730E+03
    0.26439E+00    0.46923E+03
    0.26973E+00    0.45155E+03
    0.27518E+00    0.43506E+03
    0.28074E+00    0.42031E+03
    0.28641E+00    0.40740E+03
    0.29219E+00    0.39601E+03
    0.29810E+00    0.38554E+03
    0.30412E+00    0.37530E+03
    0.31026E+00    0.36473E+03
    0.31653E+00    0.35359E+03
    0.32292E+00    0.34203E+03
    0.32945E+00    0.33047E+03
    0.33610E+00    0.31941E+03
    0.34289E+00    0.30918E+03
    0.34982E+00    0.29990E+03
    0.35689E+00    0.29139E+03
    0.36409E+00    0.28331E+03
    0.37145E+00    0.27533E+03
    0.37895E+00    0.26724E+03
    0.38661E+00    0.25908E+03
    0.39442E+00    0.25105E+03
    0.40239E+00    0.24338E+03
    0.41052E+00    0.23620E+03
    0.41881E+00    0.22948E+03
    0.42727E+00    0.22308E+03
    0.43590E+00    0.21682E+03
    0.44471E+00    0.21063E+03
    0.45369E+00    0.20453E+03
    0.46286E+00    0.19862E+03
    0.47221E+00    0.19298E+03
    0.48174E+00    0.18761E+03
    0.49148E+00    0.18247E+03
    0.50141E+00    0.17747E+03
    0.51153E+00    0.17258E+03
    0.52187E+00    0.16782E+03
    0.53241E+00    0.16322E+03
    0.54317E+00    0.15881E+03
    0.55414E+00    0.15457E+03
    0.56533E+00    0.15045E+03
    0.57675E+00    0.14645E+03
    0.58840E+00    0.14257E+03
    0.60029E+00    0.13882E+03
    0.61242E+00    0.13519E+03
    0.62479E+00    0.13168E+03
    0.63741E+00    0.12829E+03
    0.65029E+00    0.12500E+03
    0.66342E+00    0.12181E+03
