# SKA_b2_LSST HIRAX512_z1_0_LSST ell HIRAX_z1_0_LSST HIRAX512_z1_8_LSST HIRAX_z1_4_LSST SKA_b1_LSST HIRAX512_z1_4_LSST HIRAX_z1_8_LSST
3.1147731578553888 1.4848127014564334e-99 67 1.4848127014564334e-99 5.003506490170917e-100 9.317074445223584e-100 4.652962011751098 9.317074445223584e-100 5.003506490170917e-100
3.123198166966926 1.4774445131586742e-99 68 1.4774445131586742e-99 5.014961968349117e-100 9.31034940170898e-100 4.671340353454709 9.31034940170898e-100 5.014961968349117e-100
3.131441783326586 1.4700390592504714e-99 69 1.4700390592504714e-99 5.024961043953868e-100 9.30210239183137e-100 4.6893550229491945 9.30210239183137e-100 5.024961043953868e-100
3.1394861040178488 1.4626189334658812e-99 70 1.4626189334658812e-99 5.033547919772385e-100 9.292409060130506e-100 4.707001183456612 9.292409060130506e-100 5.033547919772385e-100
3.1473080762485717 1.4552092067484753e-99 71 1.4552092067484753e-99 5.04077069529306e-100 9.281347683575996e-100 4.724274872504942 9.281347683575996e-100 5.04077069529306e-100
3.1549134476278016 1.4478369566257472e-99 72 1.4478369566257472e-99 5.046722787936573e-100 9.268966123938223e-100 4.741170814951896 9.268966123938223e-100 5.046722787936573e-100
3.1623040310816766 1.440529369741349e-99 73 1.440529369741349e-99 5.051525614695966e-100 9.255293615238312e-100 4.757682562704948 9.255293615238312e-100 5.051525614695966e-100
3.169460286992175 1.4333081718223507e-99 74 1.4333081718223507e-99 5.055279680107788e-100 9.240390971625873e-100 4.773806865696831 9.240390971625873e-100 5.055279680107788e-100
3.176385186527696 1.4261965865708033e-99 75 1.4261965865708033e-99 5.05809288219788e-100 9.224314012674822e-100 4.7895377332512705 9.224314012674822e-100 5.05809288219788e-100
3.183091204906012 1.4192175642474652e-99 76 1.4192175642474652e-99 5.060074134282454e-100 9.207116762309143e-100 4.8048681362778485 9.207116762309143e-100 5.060074134282454e-100
3.1895557950159024 1.4123830802125553e-99 77 1.4123830802125553e-99 5.061269268279477e-100 9.18885095461481e-100 4.819783274574955 9.18885095461481e-100 5.061269268279477e-100
3.195781621669412 1.405711164162735e-99 78 1.405711164162735e-99 5.061743587708193e-100 9.169550071697331e-100 4.834268469698302 9.169550071697331e-100 5.061743587708193e-100
3.2017846742360905 1.3992204175238415e-99 79 1.3992204175238415e-99 5.061559351764544e-100 9.149268484394788e-100 4.848308760080987 9.149268484394788e-100 5.061559351764544e-100
3.2075418159889733 1.3929159194868948e-99 80 1.3929159194868948e-99 5.060725811726132e-100 9.128081141629238e-100 4.861880406636368 9.128081141629238e-100 5.060725811726132e-100
3.2129876026157214 1.3868128229623258e-99 81 1.3868128229623258e-99 5.059274080975637e-100 9.106030180937334e-100 4.874956848996468 9.106030180937334e-100 5.059274080975637e-100
3.2181948456685237 1.3809180434169012e-99 82 1.3809180434169012e-99 5.057214296783804e-100 9.083168340384304e-100 4.887509846060244 9.083168340384304e-100 5.057214296783804e-100
3.2231605903966223 1.375238640581792e-99 83 1.375238640581792e-99 5.054543887579837e-100 9.059563979463223e-100 4.899512880860923 9.059563979463223e-100 5.054543887579837e-100
3.2279173598800854 1.3697915936579797e-99 84 1.3697915936579797e-99 5.051274758884921e-100 9.035282396149262e-100 4.910942049674709 9.035282396149262e-100 5.051274758884921e-100
3.232446567620758 1.3645743049127433e-99 85 1.3645743049127433e-99 5.047399722985209e-100 9.01040307885494e-100 4.921764061398762 9.01040307885494e-100 5.047399722985209e-100
3.2367743474481787 1.3596011531960638e-99 86 1.3596011531960638e-99 5.042922323462772e-100 8.985005854794464e-100 4.9319530028304035 8.985005854794464e-100 5.042922323462772e-100
3.240910611741255 1.3548770652601153e-99 87 1.3548770652601153e-99 5.037854079613222e-100 8.959197394508846e-100 4.941480811426673 8.959197394508846e-100 5.037854079613222e-100
3.2448586534199273 1.3504059854391359e-99 88 1.3504059854391359e-99 5.032197350777457e-100 8.933063637207232e-100 4.9503162581422995 8.933063637207232e-100 5.032197350777457e-100
3.248652463538469 1.3461983609086718e-99 89 1.3461983609086718e-99 5.025964810357588e-100 8.906699140455696e-100 4.95843288343227 8.906699140455696e-100 5.025964810357588e-100
3.2522733833589745 1.3422497033295001e-99 90 1.3422497033295001e-99 5.019162913856553e-100 8.880208841276914e-100 4.965797575874486 8.880208841276914e-100 5.019162913856553e-100
3.2557617586048893 1.3385720827204223e-99 91 1.3385720827204223e-99 5.011819236390007e-100 8.853658254782784e-100 4.972379595969066 8.853658254782784e-100 5.011819236390007e-100
3.259100190541034 1.3351560526285315e-99 92 1.3351560526285315e-99 5.003939078625579e-100 8.827161373116957e-100 4.978140418080862 8.827161373116957e-100 5.003939078625579e-100
3.262316660205285 1.3320109675824018e-99 93 1.3320109675824018e-99 4.995551062583718e-100 8.800752741118365e-100 4.983046109818981 8.800752741118365e-100 4.995551062583718e-100
3.2654133486789045 1.329126883869315e-99 94 1.329126883869315e-99 4.986665046377302e-100 8.774542303061087e-100 4.987056547403802 8.774542303061087e-100 4.986665046377302e-100
3.2684042840475214 1.3265086300234283e-99 95 1.3265086300234283e-99 4.977307402598803e-100 8.748560212403654e-100 4.990132221721824 8.748560212403654e-100 4.977307402598803e-100
3.2713082865325456 1.3241501717851498e-99 96 1.3241501717851498e-99 4.967496531257255e-100 8.722908934660171e-100 4.992233272420145 8.722908934660171e-100 4.967496531257255e-100
3.274139598069494 1.3220511354910117e-99 97 1.3220511354910117e-99 4.957268771782852e-100 8.697591534472628e-100 4.993313807263905 8.697591534472628e-100 4.957268771782852e-100
3.276923255396939 1.3202049489169595e-99 98 1.3202049489169595e-99 4.946644558623011e-100 8.672697015631119e-100 4.99333131720832 8.672697015631119e-100 4.946644558623011e-100
3.279659344634472 1.318606496551521e-99 99 1.318606496551521e-99 4.935661440920565e-100 8.648217572323647e-100 4.99223300969145 8.648217572323647e-100 4.935661440920565e-100
3.282379187536611 1.3172505179181799e-99 100 1.3172505179181799e-99 4.924339330082864e-100 8.624237414514338e-100 4.989976573398951 8.624237414514338e-100 4.924339330082864e-100
3.285072435453193 1.3161319774142986e-99 101 1.3161319774142986e-99 4.912722495951258e-100 8.60075162640494e-100 4.986509233795197 8.60075162640494e-100 4.912722495951258e-100
3.287770580156199 1.3152453563902758e-99 102 1.3152453563902758e-99 4.900825295315181e-100 8.577839935355493e-100 4.981787824013666 8.577839935355493e-100 4.900825295315181e-100
