#           k/h    P           
    0.56533E+00    0.21977E+02
    0.57675E+00    0.21138E+02
    0.58840E+00    0.20330E+02
    0.60029E+00    0.19554E+02
    0.61242E+00    0.18812E+02
    0.62479E+00    0.18099E+02
    0.63741E+00    0.17414E+02
    0.65029E+00    0.16755E+02
    0.66342E+00    0.16122E+02
    0.67683E+00    0.15513E+02
    0.69050E+00    0.14927E+02
    0.70445E+00    0.14365E+02
    0.71868E+00    0.13824E+02
    0.73320E+00    0.13304E+02
    0.74801E+00    0.12804E+02
    0.76312E+00    0.12324E+02
    0.77854E+00    0.11863E+02
    0.79426E+00    0.11420E+02
    0.81031E+00    0.10994E+02
    0.82668E+00    0.10585E+02
    0.84338E+00    0.10192E+02
    0.86041E+00    0.98147E+01
    0.87780E+00    0.94523E+01
    0.89553E+00    0.91043E+01
    0.91362E+00    0.87700E+01
    0.93208E+00    0.84489E+01
    0.95091E+00    0.81405E+01
    0.97011E+00    0.78443E+01
    0.98971E+00    0.75598E+01
    0.10097E+01    0.72865E+01
    0.10301E+01    0.70239E+01
    0.10509E+01    0.67716E+01
    0.10721E+01    0.65293E+01
    0.10938E+01    0.62964E+01
    0.11159E+01    0.60726E+01
    0.11384E+01    0.58576E+01
    0.11614E+01    0.56510E+01
    0.11849E+01    0.54525E+01
    0.12088E+01    0.52617E+01
    0.12333E+01    0.50783E+01
    0.12582E+01    0.49020E+01
    0.12836E+01    0.47325E+01
    0.13095E+01    0.45696E+01
    0.13360E+01    0.44129E+01
    0.13630E+01    0.42623E+01
    0.13905E+01    0.41175E+01
    0.14186E+01    0.39781E+01
    0.14472E+01    0.38442E+01
    0.14765E+01    0.37153E+01
    0.15063E+01    0.35912E+01
    0.15367E+01    0.34719E+01
    0.15678E+01    0.33571E+01
    0.15994E+01    0.32466E+01
    0.16318E+01    0.31403E+01
    0.16647E+01    0.30380E+01
    0.16984E+01    0.29394E+01
    0.17327E+01    0.28446E+01
    0.17677E+01    0.27533E+01
    0.18034E+01    0.26653E+01
    0.18398E+01    0.25806E+01
    0.18770E+01    0.24989E+01
    0.19149E+01    0.24203E+01
    0.19536E+01    0.23445E+01
    0.19930E+01    0.22714E+01
    0.20333E+01    0.22010E+01
    0.20744E+01    0.21330E+01
    0.21163E+01    0.20675E+01
    0.21590E+01    0.20043E+01
    0.22026E+01    0.19434E+01
    0.22471E+01    0.18845E+01
    0.22925E+01    0.18278E+01
    0.23388E+01    0.17729E+01
    0.23861E+01    0.17200E+01
    0.24343E+01    0.16689E+01
    0.24835E+01    0.16196E+01
    0.25336E+01    0.15719E+01
    0.25848E+01    0.15258E+01
    0.26370E+01    0.14813E+01
    0.26903E+01    0.14383E+01
    0.27447E+01    0.13966E+01
    0.28001E+01    0.13564E+01
    0.28567E+01    0.13174E+01
    0.29144E+01    0.12798E+01
    0.29733E+01    0.12433E+01
    0.30333E+01    0.12080E+01
    0.30946E+01    0.11738E+01
    0.31571E+01    0.11407E+01
    0.32209E+01    0.11087E+01
    0.32860E+01    0.10776E+01
    0.33523E+01    0.10475E+01
    0.34201E+01    0.10183E+01
    0.34892E+01    0.99003E+00
    0.35596E+01    0.96260E+00
    0.36316E+01    0.93599E+00
    0.37049E+01    0.91018E+00
    0.37798E+01    0.88514E+00
    0.38561E+01    0.86083E+00
    0.39340E+01    0.83723E+00
    0.40135E+01    0.81431E+00
    0.40946E+01    0.79206E+00
    0.41773E+01    0.77043E+00
    0.42617E+01    0.74943E+00
    0.43478E+01    0.72901E+00
    0.44356E+01    0.70917E+00
    0.45252E+01    0.68988E+00
    0.46166E+01    0.67112E+00
    0.47099E+01    0.65287E+00
    0.48050E+01    0.63512E+00
    0.49021E+01    0.61786E+00
    0.50011E+01    0.60106E+00
    0.51021E+01    0.58470E+00
    0.52052E+01    0.56879E+00
    0.53104E+01    0.55329E+00
    0.54176E+01    0.53820E+00
    0.55271E+01    0.52351E+00
    0.56387E+01    0.50920E+00
    0.57526E+01    0.49526E+00
    0.58689E+01    0.48168E+00
    0.59874E+01    0.46844E+00
    0.61084E+01    0.45555E+00
    0.62318E+01    0.44298E+00
    0.63577E+01    0.43073E+00
    0.64861E+01    0.41879E+00
    0.66171E+01    0.40715E+00
    0.67508E+01    0.39580E+00
    0.68872E+01    0.38474E+00
    0.70263E+01    0.37395E+00
    0.71682E+01    0.36343E+00
    0.73130E+01    0.35317E+00
    0.74608E+01    0.34316E+00
    0.76115E+01    0.33341E+00
    0.77653E+01    0.32389E+00
    0.79221E+01    0.31461E+00
    0.80822E+01    0.30555E+00
